formula,p Band Center,formula composition,formula_obj,formula entropy,A_site_obj,B_site_obj,A_site_Z,A_site_ionization_energy,A_site_eletronegativity,A_site_radius,A_site_lewis_acid_strengths,A_site_g,A_site_p,A_site_mass,A_site_Valence_electron,A_site_Polarization_rate,Tolerance_factor
La0.167Sr0.167Na0.167Ca0.167Pr0.167Sm0.167Fe1O3,-1.736520288,La0.167Sr0.167Na0.167Ca0.167Pr0.167Sm0.167FeO3.0,La0.167 Sr0.167 Na0.167 Ca0.167 Pr0.167 Sm0.167 Fe1 O3,-1.791759469228055,La0.167Sr0.167Na0.167Ca0.167Pr0.167Sm0.167,Fe1,41.16666666666667,5.605,1.125,1.3483333333333334,0.2668333333333333,2.3333333333333335,5.5,96.81166666666667,2.3333333333333335,34.766666666666666,0.9503008004699403
La0.167Sr0.167Li0.167Mg0.167Eu0.167Y0.167Fe1O3,-1.722875808,La0.167Sr0.167Li0.167Mg0.167Eu0.167Y0.167FeO3.0,La0.167 Sr0.167 Li0.167 Mg0.167 Eu0.167 Y0.167 Fe1 O3,-2.019992658983094,La0.167Sr0.167Li0.167Mg0.167Eu0.167Y0.167,Fe1,34.83333333333333,5.135,0.9966666666666668,1.0516666666666667,0.24749999999999997,2.1666666666666665,4.666666666666667,81.95166666666668,2.1666666666666665,26.166666666666668,0.8477213326205472
La0.200Sr0.200K0.200Sm0.200Eu0.200Fe1O3,-1.691600916,La0.2Sr0.2K0.2Sm0.2Eu0.2FeO3.0,La0.2 Sr0.2 K0.2 Sm0.2 Eu0.2 Fe1 O3,-1.6094379124341005,La0.2Sr0.2K0.2Sm0.2Eu0.2,Fe1,47.800000000000004,5.384,1.088,1.3760000000000001,0.273,2.4000000000000004,5.800000000000001,113.59,2.4000000000000004,38.120000000000005,0.959867200280614
La0.167Sr0.167Li0.167Nd0.167Eu0.167Y0.167Fe1O3,-1.234910196,La0.167Sr0.167Li0.167Nd0.167Eu0.167Y0.167FeO3.0,La0.167 Sr0.167 Li0.167 Nd0.167 Eu0.167 Y0.167 Fe1 O3,-1.791759469228055,La0.167Sr0.167Li0.167Nd0.167Eu0.167Y0.167,Fe1,42.833333333333336,4.781666666666666,0.9683333333333334,1.0916666666666666,0.2653333333333333,2.333333333333333,5.0,101.94000000000003,2.333333333333333,28.86666666666667,0.8615522721058584
La0.167Sr0.167Na0.167Ca0.167Sm0.167Gd0.167Fe1O3,-1.612111678,La0.167Sr0.167Na0.167Ca0.167Sm0.167Gd0.167FeO3.0,La0.167 Sr0.167 Na0.167 Ca0.167 Sm0.167 Gd0.167 Fe1 O3,-1.791759469228055,La0.167Sr0.167Na0.167Ca0.167Sm0.167Gd0.167,Fe1,42.0,5.718333333333334,1.1233333333333333,1.325,0.2695,2.3333333333333335,5.5,99.535,2.3333333333333335,34.116666666666674,0.9422327524368419
La0.167Sr0.167Li0.167Mg0.167Sm0.167Y0.167Fe1O3,-1.632616894,La0.167Sr0.167Li0.167Mg0.167Sm0.167Y0.167FeO3.0,La0.167 Sr0.167 Li0.167 Mg0.167 Sm0.167 Y0.167 Fe1 O3,-2.019992658983094,La0.167Sr0.167Li0.167Mg0.167Sm0.167Y0.167,Fe1,34.666666666666664,5.130000000000001,0.9916666666666668,1.0583333333333333,0.24683333333333335,2.1666666666666665,4.666666666666667,81.68500000000002,2.1666666666666665,26.3,0.8500264892014323
La0.167Sr0.167Li0.167Eu0.167Y0.167Bi0.167Fe1O3,-1.711350323,La0.167Sr0.167Li0.167Eu0.167Y0.167Bi0.167FeO3.0,La0.167 Sr0.167 Li0.167 Eu0.167 Y0.167 Bi0.167 Fe1 O3,-1.6094379124341005,La0.167Sr0.167Li0.167Eu0.167Y0.167Bi0.167,Fe1,46.66666666666667,5.075,1.1150000000000002,1.0516666666666667,0.2785,2.333333333333333,5.0,112.73,2.6666666666666665,24.833333333333332,0.8477213326205472
La0.167Sr0.167Na0.167Nd0.167Sm0.167Eu0.167Fe1O3,-1.59051858,La0.167Sr0.167Na0.167Nd0.167Sm0.167Eu0.167FeO3.0,La0.167 Sr0.167 Na0.167 Nd0.167 Sm0.167 Eu0.167 Fe1 O3,-1.791759469228055,La0.167Sr0.167Na0.167Nd0.167Sm0.167Eu0.167,Fe1,48.5,5.541666666666667,1.115,1.3166666666666667,0.2908333333333334,2.5,5.666666666666667,116.01333333333334,2.5,36.01666666666667,0.9393513067107354
La0.167Sr0.167Na0.167Ba0.167Pr0.167Y0.167Fe1O3,-1.737320194,La0.167Sr0.167Na0.167Ba0.167Pr0.167Y0.167FeO3.0,La0.167 Sr0.167 Na0.167 Ba0.167 Pr0.167 Y0.167 Fe1 O3,-1.791759469228055,La0.167Sr0.167Na0.167Ba0.167Pr0.167Y0.167,Fe1,43.333333333333336,5.551666666666667,1.1150000000000002,1.4000000000000001,0.27566666666666667,2.5,5.666666666666667,102.77833333333334,2.3333333333333335,37.43333333333334,0.9681657639718009
La0.167Sr0.167Li0.167Mg0.167Nd0.167Y0.167Fe1O3,-1.506335631,La0.167Sr0.167Li0.167Mg0.167Nd0.167Y0.167FeO3.0,La0.167 Sr0.167 Li0.167 Mg0.167 Nd0.167 Y0.167 Fe1 O3,-2.019992658983094,La0.167Sr0.167Li0.167Mg0.167Nd0.167Y0.167,Fe1,34.333333333333336,5.111666666666667,0.9866666666666667,1.0633333333333335,0.24683333333333335,2.1666666666666665,4.666666666666667,80.665,2.1666666666666665,26.383333333333336,0.8517553566370963
La0.167Sr0.167Li0.167Ca0.167Pr0.167Bi0.167Fe1O3,-1.794342699,La0.167Sr0.167Li0.167Ca0.167Pr0.167Bi0.167FeO3.0,La0.167 Sr0.167 Li0.167 Ca0.167 Pr0.167 Bi0.167 Fe1 O3,-1.6094379124341005,La0.167Sr0.167Li0.167Ca0.167Pr0.167Bi0.167,Fe1,42.83333333333333,5.023333333333333,1.1116666666666668,1.0816666666666668,0.26199999999999996,2.1666666666666665,4.833333333333333,102.75,2.5,23.583333333333336,0.8580945372345307
